DISTRICTCODE,CHILDREN,FEMALE,ELDERLY,FHEAD,FAMILYSIZE,NOELECTRIC,LOWEDU,GROWTH,POVERTY,ILLITERATE,NOTRAINING,DPRONE,RENTED,NOSEWER,TAPWATER,POPULATION,PROVINCE,Sustainability_Index
9412,0.1008624191,0.44626006349999997,0.0092787692,0.042278007029999995,3.998452545,0.01851215039,0.2631171975,0.022389064740000002,0.1489,0.08433722135,0.9902949717,0.9685732844,0.3022313923,0.1193833104,0.031312089259999995,210413,Papua Tengah,0.7057718249465
7315,0.09765964605,0.5149236255999999,0.06253145818,0.2165389766,4.077942177,0.0033587250000000003,0.3787808644,0.007170799249999999,0.08460000000000001,0.1337242947,0.9977608499999999,0.9210589862,0.01920839462,0.1581125283,0.04460738041,372230,Sulawesi Selatan,0.705993957217
7504,0.09458760748,0.4985158848,0.044076625030000004,0.1269972525,4.178799114,0.016378137589999998,0.39372822300000004,0.012976098629999998,0.17809999999999998,0.047644898160000004,0.9991197418,0.9392355091,0.014297527269999999,0.4224705914,0.1446290912,157186,Gorontalo,0.706014222548
1107,0.102378248,0.4946048541,0.03381555874,0.1703972289,4.066198068,0.02297081046,0.2601127542,0.02021413499,0.2028,0.054560590500000006,0.9365568092,0.3626511637,0.08096501712,0.2330706747,0.09356452691,201682,Aceh,0.7060777415849999
1221,0.13997718609999998,0.4983635157,0.02559476325,0.1432461874,4.297353582,0.0705818275,0.3026619634,0.02279641411,0.091,0.045594431059999996,1.0,0.9929674484000001,0.07658913238000001,0.4932397796,0.0,269799,Sumatera Utara,0.7063451753309999
1810,0.08961439733000001,0.4877312866,0.0570352072,0.1118242244,3.7485147,0.00773404793,0.34595886550000005,0.00831010615,0.113,0.048316603699999995,0.9895957506,0.9831205119,0.033186790130000005,0.1286751032,0.00554066812,393901,Lampung,0.7065200036579999
7203,0.09616076476,0.4890699149,0.04191293622,0.1130503091,3.98722634,0.026913487479999998,0.3068374365,0.01769957401,0.14550000000000002,0.05653171083,0.9870555688,0.9826155265,0.03968714779,0.1145872468,0.05047986612,117330,Sulawesi Tengah,0.7065579036285001
5311,0.1008474795,0.5258126125,0.05410547311,0.2859458697,4.788324641,0.052350577950000005,0.3890261452,0.00459219145,0.2395,0.06468801925,0.9979912602000001,0.9631202425,0.05423597406,0.15039117559999998,0.2872497886,272084,Nusa Tenggara Timur,0.7070727174625
3601,0.1062380612,0.4893967078,0.04638307061,0.1567502115,3.994426659,0.00158243071,0.463664992,0.00489136886,0.0974,0.07388423286,0.9864746959999999,0.9170534278,0.0213047589,0.3889594772,0.08680146631999999,1205203,Banten,0.7071914233930001
3521,0.06542089863,0.5109966787,0.09490163847,0.20244143439999998,3.227999471,0.00098030825,0.39585483930000004,0.00077512052,0.1491,0.1203672422,0.9889287409,0.9779275038999999,0.0059324209699999995,0.07631621943,0.1479604142,829899,Jawa Timur,0.7072327089649999
1404,0.1032017221,0.4865939279,0.015499869639999999,0.06972846128,3.926964511,0.053483251940000004,0.296875878,0.050689757169999995,0.1025,0.06981602447,0.9943100995999999,0.963060949,0.159498419,0.05007655997,0.02077538484,438788,Riau,0.7077046412094999
3205,0.09988928237,0.49619918490000003,0.05458677093,0.1538632455,3.728272851,0.0011008576,0.4379815777,0.00764291059,0.1127,0.03481830079,0.9875442940000001,0.9143841546,0.02879831942,0.1923052506,0.06476880548,2588839,Jawa Barat,0.7080036078024999
8104,0.1244608109,0.4875309036,0.028175183569999998,0.09326634521,4.541693361,0.055130323360000004,0.25810569310000003,0.031670989829999996,0.174,0.06300401089,0.9586269683,0.9508041946,0.02808780389,0.2739656742,0.09889739352999999,135687,Maluku,0.7083869584355
1904,0.08637902087,0.4760013858,0.03418703195,0.1092500347,3.723332473,0.00853360853,0.4255705589,0.021537659100000002,0.060700000000000004,0.06822278877,0.9958721149,0.9892238385000001,0.04425569073,0.1265157078,0.01248288317,188603,Bangka Belitung,0.7085108527774999
7209,0.1063996702,0.48964192160000003,0.04365949978,0.12140275360000001,4.150153133,0.09372844411,0.4173521771,0.01074200633,0.1815,0.05581429953,1.0,0.9443478741,0.02309411473,0.4202742599,0.26396821460000003,150820,Sulawesi Tengah,0.7086229826035
3207,0.07483820792000001,0.5055037687,0.08699284040000001,0.1884261129,3.157707052,0.00219364538,0.4705231928,0.0059329756,0.08199999999999999,0.028012812760000002,0.9926807149,0.9650407831,0.027800442470000002,0.1781721584,0.04289914314,1181981,Jawa Barat,0.708760698718
1220,0.1234643406,0.4978594418,0.02850000382,0.1258428011,4.054962258,0.0670520948,0.2608956725,0.019531637589999998,0.107,0.04913786337000001,1.0,0.9564300882000001,0.0481113505,0.3934466885,0.0055334253,262895,Sumatera Utara,0.7090912357195001
3209,0.0854303926,0.4874111492,0.04973418407999999,0.1305944854,3.727533861,0.0,0.4096622067,0.00786115395,0.1297,0.08531481017999999,0.998073491,0.9371982264000001,0.04390503729,0.1187085818,0.1122165576,2159577,Jawa Barat,0.709286758988
